"booking_id","origin","destination","travel_date","booking_date","days_in_advance","departure_hour","time_bucket","day_of_week","is_weekend","is_holiday","season","seat_class","total_seats","seats_booked","occupancy_rate","base_fare","season_mult","dow_mult","advance_mult","occupancy_mult","time_mult","holiday_mult","dynamic_fare","competitor_fare","demand_score","revenue"
"BK0913","CHENNAI KILAMBAKKAM KCBT","TRICHY",2024-09-30,2024-09-22,8,17,"Evening","Monday",FALSE,FALSE,"Normal","Sleeper",40,15,0.375,530,1.011,1.017,0.913,0.976,1.11,1,540,525,39.8,8100
"BK1031","COIMBATORE","SALEM",2024-09-30,2024-09-28,2,22,"Night","Monday",FALSE,FALSE,"Normal","Semi-Sleeper",40,27,0.675,295,0.976,1.036,1.109,1.149,1.062,1,405,425,50.2,10935
"BK1081","COIMBATORE","SALEM",2024-09-30,2024-09-17,13,8,"Early Morning","Monday",FALSE,FALSE,"Normal","Sleeper",40,20,0.5,295,0.969,1.041,0.999,1.089,0.947,1,305,330,43,6100
"BK1205","NAGERCOIL","MADURAI",2024-09-30,2024-09-27,3,8,"Early Morning","Monday",FALSE,FALSE,"Normal","Sleeper",40,34,0.85,420,0.979,1.002,1.243,1.178,0.935,1,565,550,58.5,19210
"BK0509","CHENNAI KILAMBAKKAM KCBT","THANJAVUR",2024-10-01,2024-09-26,5,22,"Night","Tuesday",FALSE,FALSE,"Festive","Semi-Sleeper",40,12,0.3,545,1.252,0.957,1.097,0.947,1.019,1,690,660,48.9,8280
"BK0612","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-10-01,2024-09-26,5,22,"Night","Tuesday",FALSE,FALSE,"Festive","Sleeper",40,30,0.75,1050,1.351,0.975,1.087,1.166,1.036,1,1815,1820,68.9,54450
"BK0617","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-10-01,2024-09-24,7,14,"Afternoon","Tuesday",FALSE,FALSE,"Festive","Semi-Sleeper",40,29,0.725,1050,1.253,0.993,1.024,1.112,1.036,1,1540,1525,68.2,44660
"BK0999","CHENNAI KILAMBAKKAM KCBT","TRICHY",2024-10-01,2024-09-20,11,5,"Early Morning","Tuesday",FALSE,FALSE,"Festive","Seater",40,28,0.7,530,1.323,1.046,0.948,1.072,0.889,1,660,710,66.3,18480
"BK1240","NAGERCOIL","MADURAI",2024-10-01,2024-09-24,7,17,"Evening","Tuesday",FALSE,FALSE,"Festive","Seater",40,22,0.55,420,1.241,1.016,1.09,1.094,1.127,1,710,690,58.1,15620
"BK1370","NAGERCOIL","TIRUNELVELI",2024-10-01,2024-09-24,7,20,"Evening","Tuesday",FALSE,FALSE,"Festive","Sleeper",40,18,0.45,145,1.384,0.996,1.073,0.958,1.136,1,235,240,54.9,4230
"BK1376","NAGERCOIL","TIRUNELVELI",2024-10-01,2024-09-27,4,22,"Night","Tuesday",FALSE,FALSE,"Festive","Semi-Sleeper",40,23,0.575,145,1.353,1.048,1.072,1.043,1.073,1,245,240,62.8,5635
"BK1391","NAGERCOIL","TIRUNELVELI",2024-10-01,2024-09-26,5,18,"Evening","Tuesday",FALSE,FALSE,"Festive","Semi-Sleeper",40,12,0.3,145,1.321,0.95,1.037,0.935,1.145,1,200,200,50,2400
"BK1439","NAGERCOIL","TRICHY",2024-10-01,2024-09-26,5,14,"Afternoon","Tuesday",FALSE,FALSE,"Festive","Seater",40,26,0.65,650,1.384,1.009,1.093,1.093,1.074,1,1165,1145,61.1,30290
"BK1471","NAGERCOIL","TRICHY",2024-10-01,2024-09-30,1,18,"Evening","Tuesday",FALSE,FALSE,"Festive","Sleeper",40,15,0.375,650,1.376,1.006,1.357,0.992,1.199,1,1450,1500,50.9,21750
"BK1517","THANJAVUR","TRICHY",2024-10-01,2024-09-13,18,22,"Night","Tuesday",FALSE,FALSE,"Festive","Sleeper",40,27,0.675,120,1.231,0.989,0.872,1.123,1.026,1,145,150,65.4,3915
"BK1557","THANJAVUR","TRICHY",2024-10-01,2024-09-18,13,14,"Afternoon","Tuesday",FALSE,FALSE,"Festive","Semi-Sleeper",40,13,0.325,120,1.287,0.95,0.908,0.918,1.002,1,125,130,49,1625
"BK1787","TIRUCHENDUR","TRICHY",2024-10-01,2024-09-22,9,20,"Evening","Tuesday",FALSE,FALSE,"Festive","Semi-Sleeper",40,34,0.85,535,1.287,0.974,0.94,1.221,1.1,1,845,870,72.6,28730
"BK0095","BENGALURU","CHENNAI KILAMBAKKAM KCBT",2024-10-02,2024-10-02,0,17,"Evening","Wednesday",FALSE,TRUE,"Festive","Semi-Sleeper",40,21,0.525,680,1.384,0.993,1.36,1.002,1.137,1.157,1675,1580,74.9,35175
"BK0249","CHENNAI KILAMBAKKAM KCBT","MADURAI",2024-10-02,2024-09-16,16,17,"Evening","Wednesday",FALSE,TRUE,"Festive","Semi-Sleeper",40,36,0.9,740,1.243,1.029,0.874,1.338,1.12,1.274,1580,1465,87.3,56880
"BK0273","CHENNAI KILAMBAKKAM KCBT","MADURAI",2024-10-02,2024-09-27,5,8,"Early Morning","Wednesday",FALSE,TRUE,"Festive","Semi-Sleeper",40,22,0.55,740,1.234,1.046,1.064,1.058,0.883,1.289,1220,1180,73.6,26840
"BK0309","CHENNAI KILAMBAKKAM KCBT","NAGERCOIL",2024-10-02,2024-09-17,15,7,"Early Morning","Wednesday",FALSE,TRUE,"Festive","Semi-Sleeper",40,38,0.95,1145,1.353,1.046,0.86,1.49,0.884,1.16,2130,2220,91.2,80940
"BK0401","CHENNAI KILAMBAKKAM KCBT","SALEM",2024-10-02,2024-10-02,0,8,"Early Morning","Wednesday",FALSE,TRUE,"Festive","Seater",40,35,0.875,535,1.224,1.036,1.349,1.285,0.952,1.289,1445,1425,89.4,50575
"BK0462","CHENNAI KILAMBAKKAM KCBT","SALEM",2024-10-02,2024-09-23,9,18,"Evening","Wednesday",FALSE,TRUE,"Festive","Semi-Sleeper",40,35,0.875,535,1.259,0.963,0.983,1.155,1.104,1.157,940,935,85.6,32900
"BK0627","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-10-02,2024-09-27,5,18,"Evening","Wednesday",FALSE,TRUE,"Festive","Sleeper",40,14,0.35,1050,1.278,0.996,1.013,0.901,1.172,1.181,1690,1560,68.9,23660
"BK0653","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-10-02,2024-09-23,9,19,"Evening","Wednesday",FALSE,TRUE,"Festive","Semi-Sleeper",40,16,0.4,1050,1.253,0.988,0.925,0.938,1.192,1.274,1710,1660,68.7,27360
"BK0693","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-10-02,2024-09-24,8,6,"Early Morning","Wednesday",FALSE,TRUE,"Festive","Sleeper",40,24,0.6,1050,1.288,0.963,0.91,1.112,0.924,1.292,1575,1505,77.1,37800
"BK1118","MADURAI","TRICHY",2024-10-02,2024-09-27,5,18,"Evening","Wednesday",FALSE,TRUE,"Festive","Semi-Sleeper",40,24,0.6,220,1.373,0.97,1.095,1.026,1.147,1.251,475,490,76.2,11400
"BK1383","NAGERCOIL","TIRUNELVELI",2024-10-02,2024-09-04,28,14,"Afternoon","Wednesday",FALSE,TRUE,"Festive","Sleeper",40,33,0.825,145,1.369,1.014,0.887,1.289,0.995,1.296,295,290,86.2,9735
"BK1522","THANJAVUR","TRICHY",2024-10-02,2024-09-20,12,18,"Evening","Wednesday",FALSE,TRUE,"Festive","Sleeper",40,14,0.35,120,1.321,1.047,0.939,0.932,1.186,1.288,220,210,64.2,3080
"BK1800","TIRUCHENDUR","TRICHY",2024-10-02,2024-09-14,18,18,"Evening","Wednesday",FALSE,TRUE,"Festive","Sleeper",40,20,0.5,535,1.267,1.012,0.919,1.058,1.147,1.24,950,935,72,19000
"BK0063","BENGALURU","CHENNAI KILAMBAKKAM KCBT",2024-10-03,2024-10-02,1,20,"Evening","Thursday",FALSE,FALSE,"Festive","Sleeper",40,14,0.35,680,1.237,0.999,1.427,0.928,1.191,1,1325,1360,51.5,18550
"BK0119","CHENNAI KILAMBAKKAM KCBT","COIMBATORE",2024-10-03,2024-09-17,16,18,"Evening","Thursday",FALSE,FALSE,"Festive","Semi-Sleeper",40,36,0.9,825,1.314,1.021,0.886,1.449,1.165,1,1655,1755,75.6,59580
"BK0137","CHENNAI KILAMBAKKAM KCBT","COIMBATORE",2024-10-03,2024-09-30,3,19,"Evening","Thursday",FALSE,FALSE,"Festive","Sleeper",40,17,0.425,825,1.397,0.968,1.124,0.967,1.173,1,1420,1335,56,24140
"BK0248","CHENNAI KILAMBAKKAM KCBT","MADURAI",2024-10-03,2024-09-15,18,20,"Evening","Thursday",FALSE,FALSE,"Festive","Semi-Sleeper",40,18,0.45,740,1.251,0.983,0.868,0.993,1.188,1,935,960,54.5,16830
"BK0258","CHENNAI KILAMBAKKAM KCBT","MADURAI",2024-10-03,2024-09-06,27,19,"Evening","Thursday",FALSE,FALSE,"Festive","Semi-Sleeper",40,17,0.425,740,1.256,0.953,0.838,0.95,1.187,1,835,845,54.2,14195
"BK0358","CHENNAI KILAMBAKKAM KCBT","NAGERCOIL",2024-10-03,2024-09-15,18,20,"Evening","Thursday",FALSE,FALSE,"Festive","Semi-Sleeper",40,19,0.475,1145,1.233,0.965,0.884,0.969,1.168,1,1365,1325,57.6,25935
"BK0441","CHENNAI KILAMBAKKAM KCBT","SALEM",2024-10-03,2024-09-29,4,18,"Evening","Thursday",FALSE,FALSE,"Festive","Semi-Sleeper",40,16,0.4,535,1.334,0.988,1.005,0.991,1.14,1,800,850,51.3,12800
"BK0663","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-10-03,2024-09-10,23,14,"Afternoon","Thursday",FALSE,FALSE,"Festive","Sleeper",40,15,0.375,1050,1.215,0.963,0.808,0.965,1.014,1,970,920,51.4,14550
"BK0675","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-10-03,2024-09-22,11,19,"Evening","Thursday",FALSE,FALSE,"Festive","Semi-Sleeper",40,27,0.675,1050,1.239,0.964,0.961,1.07,1.143,1,1475,1530,65.9,39825
"BK1100","COIMBATORE","SALEM",2024-10-03,2024-09-19,14,20,"Evening","Thursday",FALSE,FALSE,"Festive","Sleeper",40,19,0.475,295,1.379,1.035,0.925,0.911,1.184,1,420,400,55.9,7980
"BK1124","MADURAI","TRICHY",2024-10-03,2024-09-23,10,21,"Night","Thursday",FALSE,FALSE,"Festive","Sleeper",40,20,0.5,220,1.344,1.013,0.993,1.017,1.036,1,315,320,55,6300
"BK1235","NAGERCOIL","MADURAI",2024-10-03,2024-09-22,11,14,"Afternoon","Thursday",FALSE,FALSE,"Festive","Semi-Sleeper",40,34,0.85,420,1.392,1.016,0.958,1.254,1.069,1,765,820,69.8,26010
"BK1283","NAGERCOIL","MADURAI",2024-10-03,2024-09-12,21,21,"Night","Thursday",FALSE,FALSE,"Festive","Semi-Sleeper",40,27,0.675,420,1.321,0.954,0.911,1.117,1.069,1,575,545,66.3,15525
"BK1402","NAGERCOIL","TRICHY",2024-10-03,2024-09-13,20,14,"Afternoon","Thursday",FALSE,FALSE,"Festive","Sleeper",40,22,0.55,650,1.356,1.024,0.844,1.07,1.018,1,830,825,57.3,18260
"BK1540","THANJAVUR","TRICHY",2024-10-03,2024-09-29,4,7,"Early Morning","Thursday",FALSE,FALSE,"Festive","Sleeper",40,31,0.775,120,1.387,1.035,1.085,1.274,0.967,1,230,240,66.7,7130
"BK1605","TIRUCHENDUR","MADURAI",2024-10-03,2024-09-30,3,10,"Morning","Thursday",FALSE,FALSE,"Festive","Sleeper",40,36,0.9,320,1.248,0.997,1.196,1.38,1.061,1,695,670,73,25020
"BK1682","TIRUCHENDUR","MADURAI",2024-10-03,2024-09-29,4,8,"Early Morning","Thursday",FALSE,FALSE,"Festive","Semi-Sleeper",40,24,0.6,320,1.347,1.011,1.091,1.002,0.931,1,445,465,60.1,10680
"BK1921","TIRUNELVELI","TRICHY",2024-10-03,2024-09-25,8,7,"Early Morning","Thursday",FALSE,FALSE,"Festive","Seater",40,19,0.475,510,1.299,1.037,0.988,0.984,0.942,1,630,630,57.9,11970
"BK0209","CHENNAI KILAMBAKKAM KCBT","MADURAI",2024-10-04,2024-09-08,26,20,"Evening","Friday",FALSE,FALSE,"Festive","Sleeper",40,21,0.525,740,1.331,1.12,0.824,1.112,1.198,1,1210,1145,67.2,25410
"BK0286","CHENNAI KILAMBAKKAM KCBT","MADURAI",2024-10-04,2024-09-30,4,22,"Night","Friday",FALSE,FALSE,"Festive","Sleeper",40,24,0.6,740,1.231,1.061,1.064,1.007,1.03,1,1065,1075,71,25560
"BK1438","NAGERCOIL","TRICHY",2024-10-04,2024-09-21,13,21,"Night","Friday",FALSE,FALSE,"Festive","Sleeper",40,36,0.9,650,1.359,1.093,0.946,1.331,1.051,1,1280,1370,85.1,46080
"BK1474","NAGERCOIL","TRICHY",2024-10-04,2024-09-28,6,17,"Evening","Friday",FALSE,FALSE,"Festive","Sleeper",40,37,0.925,650,1.229,1.134,1.043,1.416,1.194,1,1595,1675,83,59015
"BK1773","TIRUCHENDUR","TRICHY",2024-10-04,2024-09-29,5,21,"Night","Friday",FALSE,FALSE,"Festive","Seater",40,15,0.375,535,1.212,1.086,1.096,0.932,1.008,1,725,710,61.4,10875
"BK0071","BENGALURU","CHENNAI KILAMBAKKAM KCBT",2024-10-05,2024-09-10,25,22,"Night","Saturday",TRUE,FALSE,"Festive","Sleeper",40,25,0.625,680,1.362,1.13,0.886,1.08,1.001,1,1005,955,70.4,25125
"BK0183","CHENNAI KILAMBAKKAM KCBT","COIMBATORE",2024-10-05,2024-09-16,19,19,"Evening","Saturday",TRUE,FALSE,"Festive","Seater",40,40,1,825,1.28,1.171,0.892,1.304,1.172,1,1685,1795,87.8,67400
"BK0284","CHENNAI KILAMBAKKAM KCBT","MADURAI",2024-10-05,2024-09-27,8,20,"Evening","Saturday",TRUE,FALSE,"Festive","Seater",40,29,0.725,740,1.232,1.187,0.931,1.142,1.186,1,1365,1385,76.9,39585
"BK0817","CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",2024-10-05,2024-09-16,19,18,"Evening","Saturday",TRUE,FALSE,"Festive","Sleeper",40,23,0.575,750,1.236,1.132,0.85,1.005,1.172,1,1050,995,72.7,24150
"BK0818","CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",2024-10-05,2024-09-11,24,14,"Afternoon","Saturday",TRUE,FALSE,"Festive","Sleeper",40,24,0.6,750,1.346,1.179,0.812,1.033,0.972,1,970,990,69.2,23280
"BK0862","CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",2024-10-05,2024-09-10,25,14,"Afternoon","Saturday",TRUE,FALSE,"Festive","Sleeper",40,38,0.95,750,1.251,1.146,0.819,1.313,1.043,1,1205,1240,84.1,45790
"BK1145","MADURAI","TRICHY",2024-10-05,2024-10-02,3,20,"Evening","Saturday",TRUE,FALSE,"Festive","Sleeper",40,19,0.475,220,1.277,1.138,1.158,0.969,1.115,1,400,415,68.4,7600
"BK1153","MADURAI","TRICHY",2024-10-05,2024-09-16,19,21,"Night","Saturday",TRUE,FALSE,"Festive","Semi-Sleeper",40,27,0.675,220,1.381,1.141,0.906,1.016,1.006,1,320,320,75.3,8640
"BK1354","NAGERCOIL","TIRUNELVELI",2024-10-05,2024-09-27,8,17,"Evening","Saturday",TRUE,FALSE,"Festive","Seater",40,39,0.975,145,1.389,1.15,0.965,1.304,1.167,1,340,340,87.1,13260
"BK1443","NAGERCOIL","TRICHY",2024-10-05,2024-10-03,2,14,"Afternoon","Saturday",TRUE,FALSE,"Festive","Sleeper",40,23,0.575,650,1.249,1.188,1.179,1.056,1.002,1,1200,1250,72.2,27600
"BK1552","THANJAVUR","TRICHY",2024-10-05,2024-09-16,19,14,"Afternoon","Saturday",TRUE,FALSE,"Festive","Semi-Sleeper",40,26,0.65,120,1.278,1.124,0.894,1.125,1.073,1,185,190,71.8,4810
"BK1665","TIRUCHENDUR","MADURAI",2024-10-05,2024-09-15,20,21,"Night","Saturday",TRUE,FALSE,"Festive","Seater",40,17,0.425,320,1.318,1.183,0.848,0.947,1.085,1,435,415,62.8,7395
"BK2014","TIRUPPUR","SALEM",2024-10-05,2024-10-01,4,18,"Evening","Saturday",TRUE,FALSE,"Festive","Semi-Sleeper",40,28,0.7,210,1.39,1.189,1.086,1.083,1.171,1,480,510,73.8,13440
"BK2054","TIRUPPUR","SALEM",2024-10-05,2024-09-26,9,22,"Night","Saturday",TRUE,FALSE,"Festive","Semi-Sleeper",40,11,0.275,210,1.342,1.188,0.932,0.787,1.011,1,250,260,59.4,2750
"BK0040","BENGALURU","CHENNAI KILAMBAKKAM KCBT",2024-10-06,2024-10-01,5,8,"Early Morning","Sunday",TRUE,FALSE,"Festive","Sleeper",40,31,0.775,680,1.382,1.199,1.008,1.207,0.882,1,1210,1280,78.4,37510
"BK0169","CHENNAI KILAMBAKKAM KCBT","COIMBATORE",2024-10-06,2024-09-14,22,19,"Evening","Sunday",TRUE,FALSE,"Festive","Sleeper",40,38,0.95,825,1.386,1.114,0.911,1.485,1.108,1,1910,1935,86.3,72580
"BK0213","CHENNAI KILAMBAKKAM KCBT","MADURAI",2024-10-06,2024-09-30,6,22,"Night","Sunday",TRUE,FALSE,"Festive","Semi-Sleeper",40,18,0.45,740,1.296,1.167,1.053,0.964,1.053,1,1195,1145,67.4,21510
"BK0512","CHENNAI KILAMBAKKAM KCBT","THANJAVUR",2024-10-06,2024-10-05,1,10,"Morning","Sunday",TRUE,FALSE,"Festive","Semi-Sleeper",40,32,0.8,545,1.292,1.128,1.417,1.21,0.958,1,1305,1410,81.2,41760
"BK1120","MADURAI","TRICHY",2024-10-06,2024-10-05,1,5,"Early Morning","Sunday",TRUE,FALSE,"Festive","Sleeper",40,21,0.525,220,1.381,1.186,1.296,1.028,0.917,1,440,420,68.1,9240
"BK1445","NAGERCOIL","TRICHY",2024-10-06,2024-09-16,20,22,"Night","Sunday",TRUE,FALSE,"Festive","Semi-Sleeper",40,37,0.925,650,1.308,1.165,0.899,1.379,1.037,1,1275,1185,85.6,47175
"BK1475","NAGERCOIL","TRICHY",2024-10-06,2024-10-06,0,22,"Night","Sunday",TRUE,FALSE,"Festive","Sleeper",40,33,0.825,650,1.266,1.12,1.337,1.27,1.061,1,1660,1700,78.8,54780
"BK1599","THANJAVUR","TRICHY",2024-10-06,2024-10-02,4,18,"Evening","Sunday",TRUE,FALSE,"Festive","Sleeper",40,12,0.3,120,1.341,1.114,1.018,0.908,1.162,1,195,185,61.2,2340
"BK1854","TIRUNELVELI","MADURAI",2024-10-06,2024-10-06,0,18,"Evening","Sunday",TRUE,FALSE,"Festive","Semi-Sleeper",40,32,0.8,280,1.236,1.11,1.306,1.151,1.176,1,680,690,78.8,21760
"BK1878","TIRUNELVELI","MADURAI",2024-10-06,2024-09-19,17,20,"Evening","Sunday",TRUE,FALSE,"Festive","Sleeper",40,17,0.425,280,1.355,1.127,0.881,0.979,1.19,1,440,420,65.3,7480
"BK1966","TIRUNELVELI","TRICHY",2024-10-06,2024-09-08,28,22,"Night","Sunday",TRUE,FALSE,"Festive","Semi-Sleeper",40,20,0.5,510,1.287,1.135,0.878,1.017,1.061,1,705,685,70,14100
"BK1984","TIRUNELVELI","TRICHY",2024-10-06,2024-09-25,11,5,"Early Morning","Sunday",TRUE,FALSE,"Festive","Sleeper",40,40,1,510,1.351,1.156,0.965,1.435,0.969,1,1070,1020,87.4,42800
"BK2033","TIRUPPUR","SALEM",2024-10-06,2024-10-03,3,19,"Evening","Sunday",TRUE,FALSE,"Festive","Semi-Sleeper",40,12,0.3,210,1.384,1.168,1.183,0.958,1.189,1,460,495,60.2,5520
"BK0529","CHENNAI KILAMBAKKAM KCBT","THANJAVUR",2024-10-07,2024-09-17,20,17,"Evening","Monday",FALSE,FALSE,"Festive","Semi-Sleeper",40,16,0.4,545,1.246,1.014,0.818,0.978,1.18,1,650,680,55.7,10400
"BK0678","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-10-07,2024-09-23,14,6,"Early Morning","Monday",FALSE,FALSE,"Festive","Sleeper",40,32,0.8,1050,1.356,0.999,0.936,1.27,0.896,1,1515,1455,71.2,48480
"BK0752","CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",2024-10-07,2024-10-04,3,19,"Evening","Monday",FALSE,FALSE,"Festive","Semi-Sleeper",40,33,0.825,1020,1.262,0.977,1.247,1.278,1.198,1,2400,2545,68.7,79200
"BK0915","CHENNAI KILAMBAKKAM KCBT","TRICHY",2024-10-07,2024-09-26,11,8,"Early Morning","Monday",FALSE,FALSE,"Festive","Sleeper",40,20,0.5,530,1.336,0.977,0.977,1.143,0.91,1,705,720,55.1,14100
"BK0934","CHENNAI KILAMBAKKAM KCBT","TRICHY",2024-10-07,2024-10-06,1,6,"Early Morning","Monday",FALSE,FALSE,"Festive","Sleeper",40,20,0.5,530,1.262,0.979,1.488,1.118,0.908,1,990,925,55.5,19800
"BK1023","COIMBATORE","SALEM",2024-10-07,2024-09-22,15,7,"Early Morning","Monday",FALSE,FALSE,"Festive","Semi-Sleeper",40,16,0.4,295,1.285,0.969,0.844,0.998,0.9,1,280,290,53.3,4480
"BK1214","NAGERCOIL","MADURAI",2024-10-07,2024-10-06,1,22,"Night","Monday",FALSE,FALSE,"Festive","Semi-Sleeper",40,26,0.65,420,1.316,0.951,1.277,1.082,1.093,1,795,810,62.3,20670
"BK1315","NAGERCOIL","TIRUNELVELI",2024-10-07,2024-09-25,12,18,"Evening","Monday",FALSE,FALSE,"Festive","Sleeper",40,24,0.6,145,1.348,0.981,0.925,1.113,1.139,1,225,230,63.6,5400
"BK1455","NAGERCOIL","TRICHY",2024-10-07,2024-09-24,13,6,"Early Morning","Monday",FALSE,FALSE,"Festive","Seater",40,28,0.7,650,1.289,1.002,0.986,1.138,0.931,1,875,940,64.1,24500
"BK1814","TIRUNELVELI","MADURAI",2024-10-07,2024-10-02,5,14,"Afternoon","Monday",FALSE,FALSE,"Festive","Seater",40,40,1,280,1.27,0.982,1.016,1.485,1.049,1,555,575,78.1,22200
"BK1982","TIRUNELVELI","TRICHY",2024-10-07,2024-09-12,25,10,"Morning","Monday",FALSE,FALSE,"Festive","Sleeper",40,29,0.725,510,1.344,0.977,0.804,1.138,1.01,1,620,650,67.4,17980
"BK0330","CHENNAI KILAMBAKKAM KCBT","NAGERCOIL",2024-10-08,2024-09-10,28,19,"Evening","Tuesday",FALSE,FALSE,"Festive","Seater",40,40,1,1145,1.378,1.016,0.895,1.444,1.119,1,2320,2140,79.8,92800
"BK0418","CHENNAI KILAMBAKKAM KCBT","SALEM",2024-10-08,2024-10-08,0,5,"Early Morning","Tuesday",FALSE,FALSE,"Festive","Semi-Sleeper",40,33,0.825,535,1.346,1.039,1.444,1.245,0.911,1,1225,1260,72.4,40425
"BK0682","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-10-08,2024-09-09,29,10,"Morning","Tuesday",FALSE,FALSE,"Festive","Sleeper",40,26,0.65,1050,1.345,1.023,0.84,1.054,0.988,1,1265,1345,63.9,32890
"BK0772","CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",2024-10-08,2024-09-23,15,19,"Evening","Tuesday",FALSE,FALSE,"Festive","Semi-Sleeper",40,33,0.825,1020,1.271,1.027,0.836,1.255,1.138,1,1590,1585,70.8,52470
"BK0945","CHENNAI KILAMBAKKAM KCBT","TRICHY",2024-10-08,2024-09-11,27,8,"Early Morning","Tuesday",FALSE,FALSE,"Festive","Sleeper",40,21,0.525,530,1.33,1.005,0.817,1.092,0.942,1,595,605,56.8,12495
"BK1009","COIMBATORE","SALEM",2024-10-08,2024-10-08,0,14,"Afternoon","Tuesday",FALSE,FALSE,"Festive","Seater",40,20,0.5,295,1.223,1.042,1.413,1.079,0.966,1,555,595,57.9,11100
"BK1184","MADURAI","TRICHY",2024-10-08,2024-09-17,21,18,"Evening","Tuesday",FALSE,FALSE,"Festive","Sleeper",40,27,0.675,220,1.274,0.966,0.894,1.131,1.104,1,300,305,66.4,8100
"BK1203","NAGERCOIL","MADURAI",2024-10-08,2024-09-26,12,22,"Night","Tuesday",FALSE,FALSE,"Festive","Sleeper",40,21,0.525,420,1.354,0.952,0.963,1.043,1.045,1,570,565,58.7,11970
"BK1310","NAGERCOIL","TIRUNELVELI",2024-10-08,2024-10-05,3,19,"Evening","Tuesday",FALSE,FALSE,"Festive","Semi-Sleeper",40,30,0.75,145,1.29,0.96,1.226,1.255,1.136,1,315,310,66.6,9450
"BK1932","TIRUNELVELI","TRICHY",2024-10-08,2024-10-01,7,22,"Night","Tuesday",FALSE,FALSE,"Festive","Semi-Sleeper",40,31,0.775,510,1.292,1.035,1.053,1.17,1.035,1,870,845,68.1,26970
"BK1962","TIRUNELVELI","TRICHY",2024-10-08,2024-10-01,7,20,"Evening","Tuesday",FALSE,FALSE,"Festive","Semi-Sleeper",40,38,0.95,510,1.322,0.959,1.042,1.461,1.13,1,1110,1045,76.6,42180
"BK0449","CHENNAI KILAMBAKKAM KCBT","SALEM",2024-10-09,2024-09-21,18,22,"Night","Wednesday",FALSE,FALSE,"Festive","Sleeper",40,25,0.625,535,1.233,0.987,0.85,1.063,1.044,1,615,570,60.9,15375
"BK0573","CHENNAI KILAMBAKKAM KCBT","THANJAVUR",2024-10-09,2024-09-28,11,17,"Evening","Wednesday",FALSE,FALSE,"Festive","Semi-Sleeper",40,12,0.3,545,1.315,0.996,0.997,0.968,1.116,1,770,760,49.7,9240
"BK0660","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-10-09,2024-09-21,18,7,"Early Morning","Wednesday",FALSE,FALSE,"Festive","Sleeper",40,38,0.95,1050,1.245,0.989,0.912,1.397,0.945,1,1560,1635,77.8,59280
"BK0664","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-10-09,2024-09-28,11,20,"Evening","Wednesday",FALSE,FALSE,"Festive","Semi-Sleeper",40,33,0.825,1050,1.278,0.985,0.924,1.234,1.194,1,1800,1900,71,59400
"BK0673","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-10-09,2024-09-10,29,17,"Evening","Wednesday",FALSE,FALSE,"Festive","Semi-Sleeper",40,15,0.375,1050,1.354,1.036,0.917,0.984,1.157,1,1540,1565,50.8,23100
"BK0685","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-10-09,2024-10-08,1,18,"Evening","Wednesday",FALSE,FALSE,"Festive","Semi-Sleeper",40,38,0.95,1050,1.361,1.043,1.382,1.465,1.148,1,3470,3285,75.7,131860
"BK1012","COIMBATORE","SALEM",2024-10-09,2024-09-22,17,8,"Early Morning","Wednesday",FALSE,FALSE,"Festive","Sleeper",40,33,0.825,295,1.222,0.958,0.851,1.258,0.941,1,350,330,69.6,11550
"BK1187","MADURAI","TRICHY",2024-10-09,2024-09-29,10,19,"Evening","Wednesday",FALSE,FALSE,"Festive","Semi-Sleeper",40,31,0.775,220,1.38,0.987,0.994,1.262,1.158,1,435,420,67.4,13485
"BK1306","NAGERCOIL","TIRUNELVELI",2024-10-09,2024-09-11,28,20,"Evening","Wednesday",FALSE,FALSE,"Festive","Seater",40,17,0.425,145,1.355,0.952,0.824,0.901,1.166,1,160,150,54.2,2720
"BK1825","TIRUNELVELI","MADURAI",2024-10-09,2024-10-08,1,19,"Evening","Wednesday",FALSE,FALSE,"Festive","Sleeper",40,23,0.575,280,1.26,0.992,1.322,1.077,1.132,1,565,575,60.9,12995
"BK1841","TIRUNELVELI","MADURAI",2024-10-09,2024-10-07,2,5,"Early Morning","Wednesday",FALSE,FALSE,"Festive","Sleeper",40,23,0.575,280,1.201,0.987,1.219,1.052,0.925,1,395,410,58,9085
